row_id,split,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target
oulad_final_result_1682,test,BBB,2013B,514140,M,Wales,Lower Than A Level,50-60%,35-55,0,120,N,Pass
oulad_final_result_0854,valid,FFF,2013B,466582,F,North Western Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn
oulad_final_result_1271,valid,DDD,2014J,680293,F,North Region,A Level or Equivalent,,0-35,0,60,N,Withdrawn
oulad_final_result_0986,train,FFF,2013B,473789,M,South Region,Lower Than A Level,80-90%,35-55,0,90,N,Pass
oulad_final_result_1058,train,GGG,2014B,146192,F,West Midlands Region,Lower Than A Level,20-30%,0-35,1,60,N,Fail
oulad_final_result_0106,train,GGG,2014B,606707,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,30,N,Distinction
oulad_final_result_0371,test,GGG,2014B,2649914,F,North Western Region,A Level or Equivalent,60-70%,35-55,0,30,N,Distinction
oulad_final_result_1205,train,CCC,2014B,593305,M,Wales,A Level or Equivalent,10-20,0-35,0,60,N,Pass
oulad_final_result_0453,train,BBB,2014B,554004,M,East Midlands Region,HE Qualification,20-30%,35-55,1,120,N,Pass
oulad_final_result_0189,valid,FFF,2013B,529412,M,East Midlands Region,Lower Than A Level,80-90%,0-35,1,180,N,Fail
oulad_final_result_1571,train,DDD,2013J,2479086,F,Scotland,Lower Than A Level,20-30%,0-35,1,60,N,Fail
oulad_final_result_0534,train,DDD,2014J,508859,F,North Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
oulad_final_result_1065,train,BBB,2013B,434646,F,London Region,HE Qualification,20-30%,0-35,1,270,N,Pass
oulad_final_result_0825,valid,FFF,2014J,258245,F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,Y,Pass
oulad_final_result_1069,train,FFF,2013B,1397662,F,West Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail
oulad_final_result_1415,train,DDD,2013B,546654,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,Y,Withdrawn
oulad_final_result_0799,test,CCC,2014B,577035,M,South Region,HE Qualification,90-100%,35-55,0,90,N,Distinction
oulad_final_result_1219,train,FFF,2013B,539219,M,London Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail
oulad_final_result_0086,test,FFF,2013J,589948,M,London Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass
oulad_final_result_0766,train,BBB,2014J,510068,F,Scotland,HE Qualification,0-10%,0-35,1,120,N,Fail
oulad_final_result_0521,valid,BBB,2013J,282038,F,North Western Region,Lower Than A Level,70-80%,0-35,0,120,N,Withdrawn
oulad_final_result_0789,train,FFF,2013J,610746,M,North Region,HE Qualification,,35-55,0,60,N,Pass
oulad_final_result_1852,train,CCC,2014J,2026585,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
oulad_final_result_1881,train,EEE,2014B,619887,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,180,N,Withdrawn
oulad_final_result_0509,valid,CCC,2014J,587550,M,West Midlands Region,HE Qualification,90-100%,0-35,0,60,N,Withdrawn
oulad_final_result_0219,test,FFF,2013J,313206,M,Wales,Lower Than A Level,20-30%,0-35,1,60,Y,Fail
oulad_final_result_0995,test,BBB,2014J,681752,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail
oulad_final_result_0528,train,FFF,2014B,533140,M,East Anglian Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn
oulad_final_result_1340,train,EEE,2014J,549922,M,South East Region,A Level or Equivalent,80-90%,0-35,0,120,N,Fail
oulad_final_result_1411,train,EEE,2014J,611971,M,North Western Region,A Level or Equivalent,30-40%,0-35,1,60,N,Withdrawn
oulad_final_result_1734,train,AAA,2013J,2529279,F,North Western Region,HE Qualification,60-70%,35-55,0,60,N,Pass
oulad_final_result_1028,train,CCC,2014J,612179,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
oulad_final_result_0925,train,BBB,2014J,637388,F,South Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail
oulad_final_result_0691,train,BBB,2013B,39655,F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Distinction
oulad_final_result_1590,train,GGG,2014B,633464,M,South East Region,Lower Than A Level,90-100%,0-35,0,30,N,Distinction
oulad_final_result_0599,train,BBB,2013B,558092,F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Fail
oulad_final_result_0933,train,AAA,2014J,2404408,F,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,Fail
oulad_final_result_1796,train,DDD,2014B,625902,F,Scotland,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
oulad_final_result_1293,train,DDD,2013J,1766513,M,South East Region,Lower Than A Level,80-90%,35-55,1,60,N,Pass
oulad_final_result_1060,train,CCC,2014B,543417,M,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
oulad_final_result_0978,valid,FFF,2013J,582842,M,South West Region,A Level or Equivalent,40-50%,0-35,0,120,Y,Withdrawn
oulad_final_result_1650,valid,CCC,2014J,677323,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn
oulad_final_result_1765,valid,GGG,2013J,579020,F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,30,N,Pass
